asset_id,family,review_use,panel_structure,required_evidence,claim_boundary,caption_pattern,source_learning_basis,certainty_encoding,source_data_template,script,exports,qa_status
wer-ea-mechanism-map,wer-ea-mechanism-map,mechanism synthesis,resin | emulsion | asphalt | aggregate | water path,FTIR or rheology or microscopy plus bonding anchor,template only; arrows must follow measured inferred speculative missing tiers,Evidence-bounded mechanism map for WER-EA interface bonding,WER-EA review contract certainty legend,solid measured; dashed inferred; dotted speculative; grey missing,mechanism_edges.csv,plot_mechanism_map.py,svg;png,template only
wer-ea-evidence-heatmap,evidence-heatmap,review evidence comparison,papers | evidence layers | source roles,screened citation matrix with source roles,template only; missing evidence is absence of report not negative result,Evidence heatmap separating reported and missing WER-EA evidence,Reader citation figure handoff contract,color tier cells and missing grey,evidence_heatmap.csv,plot_evidence_heatmap.py,svg;png,template only
wer-ea-material-system-map,material-system-map,formulation taxonomy,asphalt | emulsifier | epoxy | curing agent | dosage,formulation rows and preparation route,template only; material families are descriptive unless performance matched,Material-system map for WER-EA formulations and preparation routes,WER-EA source quality taxonomy,node groups by formulation field,material_systems.csv,plot_material_system_map.py,svg;png,template only
wer-ea-performance-boundary,performance-mechanism-boundary,overclaim control,performance | mechanism cue | support level | gap,matched performance and characterization evidence,template only; performance improvement is not mechanism confirmation,Boundary map between performance evidence and mechanism support,Reviewer-risk pressure tests,tiered support ladder,performance_boundary.csv,plot_performance_mechanism_boundary.py,svg;png,template only
wer-ea-screening-flow,literature-screening-flow,review methods figure,search | screen | include | classify | exclude,search counts and exclusion reasons,template only; counts require reproducible screening log,Literature-screening flow for WER-EA evidence classification,Review package workflow,flow boxes with exclusion notes,screening_flow.csv,plot_literature_screening_flow.py,svg;png,template only
wer-ea-graphical-abstract,graphical-abstract,review graphical abstract,problem | material design | evidence chain | application | gap,review scope and representative source anchors,template only; no universal improvement or field validation implied,Graphical abstract for WER-EA bonding review,Review figure intake protocol,storyline panels with boundary callout,mechanism_edges.csv,plot_graphical_abstract.py,svg;png,template only
wer-ea-dosage-window,dosage-workability-window,dosage optimization,dosage | viscosity | bonding | stability | workability,dosage series and units,template only; optimum is conditional on protocol and temperature,Dosage workability performance window for WER-EA,Asphalt figure package rules,window curve with risk zones,dosage_window.csv,plot_dosage_window.py,svg;png,template only
wer-ea-emulsion-stability,emulsion-stability-timeline,stability summary,time | separation | particle stability | warning,storage protocol and stability metric,template only; storage stability alone does not prove bonding,Emulsion stability timeline for modified emulsified asphalt,Durability and stability references,timeline with measured and missing markers,dosage_window.csv,plot_dosage_window.py,svg;png,template only
wer-ea-curing-sequence,curing-demulsification-sequence,process mechanism,breaking | water escape | curing | film formation,time-resolved or proxy evidence,template only; sequence remains speculative without time-resolved data,Curing and demulsification sequence for WER-EA,Mechanism figure contract,process arrows by certainty,mechanism_edges.csv,plot_mechanism_map.py,svg;png,template only
wer-ea-bonding-comparison,bonding-performance-comparison,performance comparison,dry | wet | aged | retained strength,matched bonding test method and uncertainty,template only; cross-study comparison requires matched protocol,Bonding performance comparison under conditioning states,Performance figure rules,grouped bars with method warning,durability_retention.csv,plot_durability_retention.py,svg;png,template only
wer-ea-pull-off-shear,pull-off-shear-method-comparison,method comparison,pull-off | shear | direct tension | failure mode,test geometry loading rate and units,template only; test modes are not interchangeable,Pull-off and shear method comparison for tack coat bonding,Test standard extraction card,parallel method lanes,performance_boundary.csv,plot_performance_mechanism_boundary.py,svg;png,template only
wer-ea-rheology-link,rheology-performance-link,mechanism performance bridge,viscosity | modulus | phase angle | bonding,rheology settings and bonding metric,template only; correlation is not causation,Rheology performance link for modified emulsion systems,Characterization figure rules,paired curve and boundary label,characterization_panel.csv,plot_characterization_panel.py,svg;png,template only
wer-ea-ftir-card,ftir-peak-assignment-card,chemical evidence card,peak | assignment | expected change | limitation,raw FTIR spectra and peak labels,template only; peak shifts alone do not prove bonding gain,FTIR peak assignment card for WER curing evidence,Microstructure interpretation guard,annotated card with limitation,characterization_panel.csv,plot_characterization_panel.py,svg;png,template only
wer-ea-sem-fluorescence,sem-fluorescence-image-plate,morphology evidence,SEM | fluorescence | morphology cue | scale bar,original images and scale bars,template only; qualitative images need representative-image caution,SEM fluorescence plate for WER-EA morphology cues,Visual asset extraction protocol,image plate placeholders,characterization_panel.csv,plot_characterization_panel.py,svg;png,template only
wer-ea-durability-retention,durability-retention-map,durability evidence,baseline | water | aging | freeze thaw | retention,baseline conditioned values and protocol,template only; retention needs original values and uncertainty,Durability retention map for WER-EA bonding systems,Durability figure rules,retention bars and protocol callout,durability_retention.csv,plot_durability_retention.py,svg;png,template only
wer-ea-challenge-map,water-aging-freeze-thaw-challenge-map,durability challenge map,water | heat | freeze thaw | traffic | field,conditioning protocols and field relevance,template only; accelerated challenge is not direct field validation,Water aging freeze thaw challenge map for WER-EA,Reviewer-risk audit rules,radial challenge cards,durability_retention.csv,plot_durability_retention.py,svg;png,template only
wer-ea-standard-card,test-standard-condition-card,method harmonization,standard | specimen | loading | curing | response,standard ID and specimen geometry,template only; standard supports methods not novelty,Test standard condition card for bonding studies,Table system extraction,method card layout,construction_workflow.csv,plot_construction_workflow.py,svg;png,template only
wer-ea-application-workflow,construction-application-workflow,field relevance,surface prep | spraying | curing | overlay | QC,application rate temperature equipment and QC metric,template only; workflow is contextual and site dependent,Construction application workflow for WER-EA tack coat,Engineering relevance boundary,workflow timeline,construction_workflow.csv,plot_construction_workflow.py,svg;png,template only
wer-ea-lca-boundary,sustainability-lca-boundary-card,sustainability boundary,functional unit | system boundary | inventory | comparison,quantified inventory and functional unit,template only; no low carbon claim without LCA,Sustainability boundary card for WER-EA review outlook,FAIR data and LCA caution,boundary card,lca_boundary.csv,plot_construction_workflow.py,svg;png,template only
wer-ea-research-gap,research-gap-matrix,review conclusion,available evidence | missing evidence | reviewer risk | next test,transparent evidence matrix and screening scope,template only; gap strength depends on search boundary,Research gap matrix for WER-EA review conclusions,Source quality and reviewer risk matrix,gap quadrants,research_gap_matrix.csv,plot_evidence_heatmap.py,svg;png,template only
